#================================================================================================
#viscosity       residual norm
  0.5             0.0879485       
1               0.0866423       
1.5             0.0862378       
2               0.0860381       
2.5             0.0859177       
3               0.0858383       
3.5             0.0857795       
4               0.0857374       
4.5             0.0857035       
5               0.0856751       
5.5             0.085657        
6               0.0856355       
6.5             0.085623        
7               0.0856052       
7.5             0.0855959       
8               0.085588        
8.5             0.0855811       
9               0.085567        
9.5             0.0855614       
10              0.0855564       
