#================================================================================================
#viscosity       residual norm
  0.5             0.0850314       
1               0.0847118       
1.5             0.0844922       
2               0.0843603       
2.5             0.0842744       
3               0.0842142       
3.5             0.0841693       
4               0.0841352       
4.5             0.0841081       
5               0.0840865       
5.5             0.0840681       
6               0.0840531       
6.5             0.0840397       
7               0.0840287       
7.5             0.0840191       
8               0.0840101       
8.5             0.0840026       
9               0.0839959       
9.5             0.0839899       
10              0.0839845       
