#================================================================================================
#viscosity       residual norm
  0.5             0.085022        
1               0.0846891       
1.5             0.0844634       
2               0.0843284       
2.5             0.0842402       
3               0.0841785       
3.5             0.0841329       
4               0.0840979       
4.5             0.0840703       
5               0.0840478       
5.5             0.0840293       
6               0.0840137       
6.5             0.0840004       
7               0.0839889       
7.5             0.083979        
8               0.0839702       
8.5             0.0839624       
9               0.0839555       
9.5             0.0839493       
10              0.0839436       
