#================================================================================================
#viscosity       residual norm
  0.5             0.0850064       
1               0.0846776       
1.5             0.0844538       
2               0.0843196       
2.5             0.0842321       
3               0.0841707       
3.5             0.0841254       
4               0.0840907       
4.5             0.0840632       
5               0.0840409       
5.5             0.0840224       
6               0.0840069       
6.5             0.0839937       
7               0.0839824       
7.5             0.0839724       
8               0.0839637       
8.5             0.083956        
9               0.0839491       
9.5             0.0839429       
10              0.0839373       
