#========================================
#W  velocity  viscosity  Residual(Psi)
#
#=========================================
1	0.5	0.5	0.0423445
1	0.5	1	0.0421642
1	0.5	1.5	0.0420892
1	0.5	2	0.042049
1	0.5	2.5	0.0420239
1	0.5	3	0.0420068
1	0.5	3.5	0.0419945
1	0.5	4	0.0419851
1	0.5	4.5	0.0419777
1	0.5	5	0.0419718
1	0.5	5.5	0.041967
1	0.5	6	0.0419629
1	0.5	6.5	0.0419594
1	0.5	7	0.0419564
1	0.5	7.5	0.0419539
1	0.5	8	0.0419516
1	0.5	8.5	0.0419496
1	0.5	9	0.0419478
1	0.5	9.5	0.0419462
1	0.5	10	0.0419448
1	1	0.5	0.0850219
1	1	1	0.084689
1	1	1.5	0.0844633
1	1	2	0.0843283
1	1	2.5	0.0842402
1	1	3	0.0841784
1	1	3.5	0.0841329
1	1	4	0.0840979
1	1	4.5	0.0840702
1	1	5	0.0840478
1	1	5.5	0.0840293
1	1	6	0.0840137
1	1	6.5	0.0840004
1	1	7	0.0839889
1	1	7.5	0.083979
1	1	8	0.0839702
1	1	8.5	0.0839624
1	1	9	0.0839555
1	1	9.5	0.0839493
1	1	10	0.0839436
1	1.5	0.5	0.127328
1	1.5	1	0.127378
1	1.5	1.5	0.127034
1	1.5	2	0.126788
1	1.5	2.5	0.126617
1	1.5	3	0.126492
1	1.5	3.5	0.126399
1	1.5	4	0.126326
1	1.5	4.5	0.126268
1	1.5	5	0.12622
1	1.5	5.5	0.12618
1	1.5	6	0.126147
1	1.5	6.5	0.126118
1	1.5	7	0.126093
1	1.5	7.5	0.126072
1	1.5	8	0.126053
1	1.5	8.5	0.126036
1	1.5	9	0.126021
1	1.5	9.5	0.126007
1	1.5	10	0.125995
1	2	0.5	0.168726
1	2	1	0.170044
1	2	1.5	0.169713
1	2	2	0.169378
1	2	2.5	0.169121
1	2	3	0.168927
1	2	3.5	0.168776
1	2	4	0.168657
1	2	4.5	0.16856
1	2	5	0.16848
1	2	5.5	0.168414
1	2	6	0.168357
1	2	6.5	0.168308
1	2	7	0.168266
1	2	7.5	0.168229
1	2	8	0.168196
1	2	8.5	0.168167
1	2	9	0.16814
1	2	9.5	0.168117
